"skill_id","skills","skill_count","average_skill_payment"
8,"go","27","115320"
97,"hadoop","22","113193"
80,"snowflake","37","112948"
74,"azure","34","111225"
76,"aws","32","108317"
4,"java","17","106906"
233,"jira","20","104918"
79,"oracle","37","104534"
185,"looker","49","103795"
1,"python","236","101397"
5,"r","148","100499"
78,"redshift","16","99936"
182,"tableau","230","99288"
186,"sas","63","98902"
7,"sas","63","98902"
61,"sql server","35","97786"
9,"javascript","20","97587"
183,"power bi","110","97431"
0,"sql","398","97237"
215,"flow","28","97200"
